name,weight,periodicity,domain,level
C01,21,10,fd,L1b
C02,65,10,fd,L1b
C03,21,10,fd,L1b
C04,14,10,fd,L1b
C05,21,10,fd,L1b
C06,14,10,fd,L1b
C07,14,10,fd,L1b
C08,14,10,fd,L1b
C09,14,10,fd,L1b
C10,14,10,fd,L1b
C11,14,10,fd,L1b
C12,14,10,fd,L1b
C13,14,10,fd,L1b
C14,14,10,fd,L1b
C15,14,10,fd,L1b
C16,14,10,fd,L1b
C01,4,5,conus,L1b
C02,9,5,conus,L1b
C03,4,5,conus,L1b
C04,2.5,5,conus,L1b
C05,4,5,conus,L1b
C06,2.5,5,conus,L1b
C07,2.5,5,conus,L1b
C08,2.5,5,conus,L1b
C09,2.5,5,conus,L1b
C10,2.5,5,conus,L1b
C11,2.5,5,conus,L1b
C12,2.5,5,conus,L1b
C13,2.5,5,conus,L1b
C14,2.5,5,conus,L1b
C15,2.5,5,conus,L1b
C16,2.5,5,conus,L1b
ACHA,35,10,fd,L2
ACMC,35,10,fd,L2
ACTP,35,10,fd,L2
AOD,10,10,fd,L2
CMI,600,10,fd,L2
DMW,1,60,fd,L2
DSR,15,10,fd,L2
LST,10,10,fd,L2
RRQPE,15,10,fd,L2
SST,25,60,fd,L2
TPW,15,10,fd,L2
VAA,35,10,fd,L2
VIL,15,10,fd,L2
ACHA,20,5,conus,L2
ACMC,20,5,conus,L2
ACTP,20,5,conus,L2
AOD,6.5,5,conus,L2
CMI,180,5,conus,L2
DMW,1,15,conus,L2
DSR,5,5,conus,L2
LST,5,5,conus,L2
RRQPE,5,5,conus,L2
SST,15,60,conus,L2
TPW,5,5,conus,L2
VAA,20,5,conus,L2
VIL,5,5,conus,L2
